############################
### DOCUMENT
# [1] D. SIEGFRIED and P. WILBUR, “An investigation of mercury hollow cathode phenomena,” 13th Int. Electr. Propuls. Conf., 1978.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Ionization fraction profiles in spot mode 
### DATA
# d,log10(alpha at Tgas = 0.1 eV), log10(alpha at Tgas = Te)
############################
d,alpha_01eV,alpha_Te
13.5882,-4.46158,-2.31316
13.6329,-4.47209,-2.32487
13.6895,-4.48608,-2.33265
13.7344,-4.50979,-2.34125
13.7649,-4.52681,-2.35175
13.8353,-4.54839,-2.38201
13.8408,-4.55128,-2.38413
13.8906,-4.60009,-2.3997
13.9111,-4.61215,-2.40648
13.9663,-4.63269,-2.42902
14.0121,-4.65148,-2.44724
14.0419,-4.66529,-2.45733
14.1131,-4.69621,-2.47987
14.1176,-4.69789,-2.48151
14.1888,-4.72709,-2.51247
14.1932,-4.73049,-2.51427
14.218,-4.76302,-2.52311
14.2646,-4.77529,-2.53694
14.3193,-4.78752,-2.5532
14.3657,-4.81711,-2.56958
14.3695,-4.82009,-2.57114
14.4414,-4.85946,-2.60217
14.445,-4.86081,-2.60322
14.5208,-4.88528,-2.62057
14.5426,-4.89562,-2.62668
14.6183,-4.93553,-2.65928
14.6467,-4.95045,-2.66685
14.7196,-4.98195,-2.68379
14.7223,-4.98305,-2.68463
14.7952,-5.01445,-2.71639
14.798,-5.01564,-2.71762
14.8552,-5.03867,-2.73576
14.8563,-5.03908,-2.73606
14.9526,-5.07526,-2.76466
14.9801,-5.08558,-2.77299
