############################
### DOCUMENT
# [1] D. SIEGFRIED and P. WILBUR, “An investigation of mercury hollow cathode phenomena,” 13th Int. Electr. Propuls. Conf., 1978.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Ionization fraction profiles in plume mode 
### DATA
# d,log10(alpha at Tgas = 0.1 eV), log10(alpha at Tgas = Te)
############################
d,alpha_0.1eV,alpha_Te
12.6104,-4.56198,-2.39702
12.6634,-4.58663,-2.41918
12.6826,-4.59945,-2.42842
12.7053,-4.61478,-2.43842
12.7551,-4.63943,-2.4596
12.7574,-4.64067,-2.46063
12.7925,-4.65754,-2.47739
12.8322,-4.6715,-2.49283
12.9048,-4.70083,-2.51075
12.9321,-4.72072,-2.51704
12.9544,-4.74103,-2.5234
13.0069,-4.76423,-2.54924
13.0292,-4.77324,-2.56245
13.0789,-4.80541,-2.59062
13.1286,-4.83759,-2.61272
13.1314,-4.83857,-2.61362
13.2284,-4.86982,-2.62881
13.2315,-4.87124,-2.6298
13.3279,-4.93417,-2.68458
13.331,-4.93653,-2.68612
13.3776,-4.96635,-2.70162
13.4309,-4.98936,-2.71033
13.4524,-4.99855,-2.71398
13.5272,-5.03076,-2.73305
13.5309,-5.03213,-2.73454
13.5806,-5.05091,-2.76671
13.602,-5.06296,-2.77745
13.6515,-5.1112,-2.79737
13.6554,-5.11382,-2.79892
13.7263,-5.1434,-2.82931
13.7302,-5.14506,-2.83112
13.801,-5.18364,-2.86186
13.805,-5.18628,-2.86333
13.8507,-5.21581,-2.87843
13.9048,-5.24013,-2.89556
13.9255,-5.24802,-2.90271
13.9796,-5.2687,-2.92777
14.0002,-5.28022,-2.94389
14.0249,-5.31237,-2.95826
14.0293,-5.31493,-2.95994
14.0997,-5.34457,-2.97697
14.1293,-5.36871,-2.98415
14.1493,-5.38477,-2.99071
14.2041,-5.40841,-3.01635
14.2241,-5.41698,-3.0257
14.2738,-5.44915,-3.04663
14.2788,-5.45169,-3.04856
14.3486,-5.48136,-3.0784
14.3536,-5.48395,-3.08076
14.3999,-5.51454,-3.10277
14.4404,-5.53466,-3.12206
14.4792,-5.5593,-3.14044
14.518,-5.58995,-3.15853
14.5693,-5.61811,-3.1817
14.5779,-5.62486,-3.18541
14.5894,-5.63821,-3.19029
14.6345,-5.66637,-3.20714
14.6777,-5.68923,-3.21764
14.7217,-5.71213,-3.2303
14.7526,-5.7287,-3.24182
14.7683,-5.73778,-3.24834
14.8181,-5.76795,-3.27013
14.8274,-5.77367,-3.27402
14.8585,-5.79158,-3.2852
14.8789,-5.80213,-3.29115
14.9192,-5.82227,-3.30392
