############################
### DOCUMENT
# [1] D. SIEGFRIED and P. WILBUR, “An investigation of mercury hollow cathode phenomena,” 13th Int. Electr. Propuls. Conf., 1978.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Electron temperature in spot mode 
### DATA
# d (mm), Te (eV)
############################
d,TeV
2.7707,0.68661
2.775,0.6866
2.7793,0.68659
2.7837,0.68658
2.788,0.68658
2.7924,0.68657
2.7967,0.68657
2.8011,0.68656
2.8054,0.68656
2.8098,0.68656
2.8141,0.68656
2.8185,0.68656
2.8228,0.68656
2.8272,0.68656
2.8315,0.68657
2.8359,0.68657
2.8402,0.68657
2.8446,0.68658
2.8489,0.68658
2.8533,0.68659
2.8576,0.6866
2.862,0.6866
2.8663,0.68661
2.8707,0.68662
2.875,0.68663
2.8793,0.68664
2.8837,0.68665
2.888,0.68666
2.8924,0.68667
2.8967,0.68668
2.9011,0.68669
2.9054,0.68671
2.9098,0.68672
2.9141,0.68673
2.9185,0.68674
2.9228,0.68676
2.9272,0.68677
2.9315,0.68679
2.9359,0.6868
2.9402,0.68682
2.9446,0.68683
2.9489,0.68685
2.9533,0.68686
2.9576,0.68688
2.962,0.68689
2.9663,0.68691
2.9707,0.68693
2.975,0.68694
2.9793,0.68696
2.9837,0.68698
2.988,0.68699
2.9924,0.68701
2.9967,0.68703
3.0011,0.68704
3.0054,0.68706
3.0098,0.68708
3.0141,0.68709
3.0185,0.68711
3.0228,0.68713
3.0272,0.68714
3.0315,0.68716
3.0359,0.68718
3.0402,0.68719
3.0446,0.68721
3.0489,0.68722
3.0533,0.68724
3.0576,0.68726
3.062,0.68727
3.0663,0.68729
3.0706,0.6873
3.075,0.68731
3.0793,0.68733
3.0837,0.68734
3.088,0.68735
3.0924,0.68737
3.0967,0.68738
3.1011,0.68739
3.1054,0.6874
3.1098,0.68741
3.1141,0.68742
3.1185,0.68743
3.1228,0.68744
3.1272,0.68745
3.1315,0.68745
3.1359,0.68746
3.1402,0.68746
3.1446,0.68747
3.1489,0.68747
3.1533,0.68747
3.1576,0.68747
3.162,0.68747
3.1663,0.68747
3.1706,0.68746
3.175,0.68746
3.1793,0.68745
3.1837,0.68744
3.188,0.68743
3.1924,0.68742
3.1967,0.68741
3.2011,0.68739
3.2054,0.68737
3.2098,0.68735
3.2141,0.68732
3.2185,0.68729
3.2228,0.68726
3.2272,0.68723
3.2315,0.68719
3.2359,0.68715
3.2402,0.68711
3.2446,0.68706
3.2489,0.68701
3.2533,0.68695
3.2576,0.68689
3.262,0.68683
3.2663,0.68676
3.2706,0.68668
3.275,0.6866
3.2793,0.68651
3.2837,0.68642
3.288,0.68632
3.2924,0.68622
3.2967,0.6861
3.3011,0.68598
3.3054,0.68585
3.3098,0.68571
3.3141,0.68556
3.3185,0.6854
3.3228,0.68523
3.3272,0.68505
3.3315,0.68485
3.3359,0.68464
3.3402,0.68442
3.3446,0.68418
3.3489,0.68393
3.3533,0.68365
3.3576,0.68337
3.362,0.68306
3.3663,0.68274
3.3706,0.68241
3.375,0.68206
3.3793,0.68169
3.3837,0.68132
3.388,0.68094
3.3924,0.68056
3.3967,0.68018
3.4011,0.6798
3.4054,0.67943
3.4098,0.67906
3.4141,0.67871
3.4185,0.67837
3.4228,0.67804
3.4272,0.67772
3.4315,0.67741
3.4359,0.67711
3.4402,0.67682
3.4446,0.67654
3.4489,0.67626
3.4533,0.676
3.4576,0.67573
3.462,0.67548
3.4663,0.67523
3.4706,0.67499
3.475,0.67476
3.4793,0.67453
3.4837,0.6743
3.488,0.67408
3.4924,0.67387
3.4967,0.67366
3.5011,0.67346
3.5054,0.67326
3.5098,0.67306
3.5141,0.67287
3.5185,0.67269
3.5228,0.67251
3.5272,0.67234
3.5315,0.67217
3.5359,0.672
3.5402,0.67184
3.5446,0.67169
3.5489,0.67154
3.5533,0.67139
3.5576,0.67125
3.562,0.67111
3.5663,0.67098
3.5706,0.67085
3.575,0.67073
3.5793,0.67061
3.5837,0.6705
3.588,0.67039
3.5924,0.67029
3.5967,0.67019
3.6011,0.6701
3.6054,0.67002
3.6098,0.66993
3.6141,0.66986
3.6185,0.66979
3.6228,0.66972
3.6272,0.66966
3.6315,0.66961
3.6359,0.66956
3.6402,0.66952
3.6446,0.66948
3.6489,0.66945
3.6533,0.66943
3.6576,0.66941
3.6619,0.6694
3.6663,0.66939
3.6706,0.66938
3.675,0.66938
3.6793,0.66938
3.6837,0.66939
3.688,0.6694
3.6924,0.66941
3.6967,0.66943
3.7011,0.66945
3.7054,0.66947
3.7098,0.66949
3.7141,0.66952
3.7185,0.66955
3.7228,0.66958
3.7272,0.66961
3.7315,0.66964
3.7359,0.66967
3.7402,0.6697
3.7446,0.66973
3.7489,0.66976
3.7533,0.6698
3.7576,0.66982
3.7619,0.66985
3.7663,0.66988
3.7706,0.6699
3.775,0.66992
3.7793,0.66994
3.7837,0.66996
3.788,0.66997
3.7924,0.66997
3.7967,0.66998
3.8011,0.66997
3.8054,0.66997
3.8098,0.66995
3.8141,0.66993
3.8185,0.6699
3.8228,0.66987
3.8272,0.66982
3.8315,0.66977
3.8359,0.66971
3.8402,0.66964
3.8446,0.66956
3.8489,0.66947
3.8533,0.66936
3.8576,0.66925
3.8619,0.66912
3.8663,0.66898
3.8706,0.66883
3.875,0.66867
3.8793,0.6685
3.8837,0.66832
3.888,0.66813
3.8924,0.66793
3.8967,0.66772
3.9011,0.6675
3.9054,0.66728
3.9098,0.66705
3.9141,0.66681
3.9185,0.66656
3.9228,0.66631
3.9272,0.66606
3.9315,0.6658
3.9359,0.66554
3.9402,0.66527
3.9446,0.665
3.9489,0.66473
3.9533,0.66446
3.9576,0.66418
3.9619,0.66391
3.9663,0.66364
3.9706,0.66337
3.975,0.66311
3.9793,0.66284
3.9837,0.66259
3.988,0.66233
3.9924,0.66209
3.9967,0.66185
4.0011,0.66162
4.0054,0.6614
4.0098,0.66118
4.0141,0.66098
4.0185,0.6608
4.0228,0.66062
4.0272,0.66046
4.0315,0.66032
4.0359,0.66019
4.0402,0.66007
4.0446,0.65997
4.0489,0.65988
4.0533,0.65981
4.0576,0.65974
4.0619,0.65969
4.0663,0.65965
4.0706,0.65962
4.075,0.6596
4.0793,0.65959
4.0837,0.65958
4.088,0.65959
4.0924,0.6596
4.0967,0.65961
4.1011,0.65963
4.1054,0.65966
4.1098,0.65969
4.1141,0.65972
4.1185,0.65976
4.1228,0.6598
4.1272,0.65984
4.1315,0.65988
4.1359,0.65992
4.1402,0.65996
4.1446,0.66001
4.1489,0.66005
4.1532,0.66009
4.1576,0.66013
4.1619,0.66017
4.1663,0.6602
4.1706,0.66024
4.175,0.66027
4.1793,0.6603
4.1837,0.66032
4.188,0.66035
4.1924,0.66037
4.1967,0.66039
4.2011,0.6604
4.2054,0.66041
4.2098,0.66042
4.2141,0.66042
4.2185,0.66043
4.2228,0.66043
4.2272,0.66043
4.2315,0.66042
4.2359,0.66042
4.2402,0.66041
4.2446,0.6604
4.2489,0.66039
4.2532,0.66038
4.2576,0.66037
4.2619,0.66036
4.2663,0.66034
4.2706,0.66033
4.275,0.66031
4.2793,0.66029
4.2837,0.66028
4.288,0.66026
4.2924,0.66024
4.2967,0.66023
4.3011,0.66021
4.3054,0.66019
4.3098,0.66017
4.3141,0.66015
4.3185,0.66014
4.3228,0.66012
4.3272,0.6601
4.3315,0.66009
4.3359,0.66007
4.3402,0.66006
4.3446,0.66005
4.3489,0.66003
4.3532,0.66002
4.3576,0.66001
4.3619,0.66001
4.3663,0.66
4.3706,0.66
4.375,0.66
4.3793,0.66
4.3837,0.66001
4.388,0.66002
4.3924,0.66003
4.3967,0.66005
4.4011,0.66007
4.4054,0.6601
4.4098,0.66014
4.4141,0.66019
4.4185,0.66025
4.4228,0.66032
4.4272,0.6604
4.4315,0.6605
4.4359,0.66061
4.4402,0.66072
4.4446,0.66084
4.4489,0.66096
4.4532,0.66108
4.4576,0.66119
4.4619,0.66129
4.4663,0.66138
4.4706,0.66146
4.475,0.66153
4.4793,0.66158
4.4837,0.66163
4.488,0.66166
4.4924,0.66168
4.4967,0.6617
4.5011,0.66171
4.5054,0.66171
4.5098,0.6617
4.5141,0.66169
4.5185,0.66167
4.5228,0.66165
4.5272,0.66162
4.5315,0.66158
4.5359,0.66155
4.5402,0.66151
4.5446,0.66146
4.5489,0.66142
4.5532,0.66137
4.5576,0.66131
4.5619,0.66126
4.5663,0.6612
4.5706,0.66114
4.575,0.66107
4.5793,0.66101
4.5837,0.66094
4.588,0.66087
4.5924,0.6608
4.5967,0.66073
4.6011,0.66065
4.6054,0.66058
4.6098,0.6605
4.6141,0.66042
4.6185,0.66034
4.6228,0.66026
4.6272,0.66018
4.6315,0.66009
4.6359,0.66001
4.6402,0.65992
4.6446,0.65983
4.6489,0.65975
4.6532,0.65966
4.6576,0.65957
4.6619,0.65948
4.6663,0.65938
4.6706,0.65929
4.675,0.6592
4.6793,0.65911
4.6837,0.65901
4.688,0.65892
4.6924,0.65882
4.6967,0.65872
4.7011,0.65863
4.7054,0.65853
4.7098,0.65843
4.7141,0.65833
4.7185,0.65823
4.7228,0.65813
4.7272,0.65803
4.7315,0.65793
4.7359,0.65783
4.7402,0.65773
4.7445,0.65763
4.7489,0.65752
4.7532,0.65742
4.7576,0.65732
4.7619,0.65721
4.7663,0.65711
4.7706,0.657
4.775,0.6569
4.7793,0.65679
4.7837,0.65669
4.788,0.65658
4.7924,0.65648
4.7967,0.65637
4.8011,0.65626
4.8054,0.65615
4.8098,0.65605
4.8141,0.65594
4.8185,0.65583
4.8228,0.65572
4.8272,0.65561
4.8315,0.6555
4.8359,0.65539
4.8402,0.65528
4.8445,0.65517
4.8489,0.65506
4.8532,0.65495
4.8576,0.65484
4.8619,0.65472
4.8663,0.65461
4.8706,0.6545
4.875,0.65439
4.8793,0.65427
4.8837,0.65416
4.888,0.65405
4.8924,0.65393
4.8967,0.65382
4.9011,0.6537
4.9054,0.65359
4.9098,0.65347
4.9141,0.65336
4.9185,0.65324
4.9228,0.65312
4.9272,0.65301
4.9315,0.65289
4.9359,0.65277
4.9402,0.65266
4.9445,0.65254
4.9489,0.65242
4.9532,0.6523
4.9576,0.65218
4.9619,0.65207
4.9663,0.65195
4.9706,0.65183
4.975,0.65171
4.9793,0.65159
4.9837,0.65147
4.988,0.65135
4.9924,0.65122
4.9967,0.6511
5.0011,0.65098
5.0054,0.65086
5.0098,0.65074
5.0141,0.65062
5.0185,0.65049
5.0228,0.65037
5.0272,0.65025
5.0315,0.65012
5.0359,0.65
5.0402,0.64987
5.0445,0.64975
5.0489,0.64962
5.0532,0.6495
5.0576,0.64937
5.0619,0.64925
5.0663,0.64912
5.0706,0.64899
5.075,0.64887
5.0793,0.64874
5.0837,0.64861
5.088,0.64848
5.0924,0.64835
5.0967,0.64822
5.1011,0.64809
5.1054,0.64796
5.1098,0.64783
5.1141,0.6477
5.1185,0.64757
5.1228,0.64744
5.1272,0.64731
5.1315,0.64718
5.1359,0.64704
5.1402,0.64691
5.1445,0.64678
5.1489,0.64664
5.1532,0.64651
5.1576,0.64637
5.1619,0.64624
5.1663,0.6461
5.1706,0.64596
5.175,0.64582
5.1793,0.64569
5.1837,0.64555
5.188,0.64541
5.1924,0.64527
5.1967,0.64513
5.2011,0.64499
5.2054,0.64484
5.2098,0.6447
5.2141,0.64456
5.2185,0.64441
5.2228,0.64427
5.2272,0.64412
5.2315,0.64398
5.2358,0.64383
5.2402,0.64368
5.2445,0.64353
5.2489,0.64338
5.2532,0.64323
5.2576,0.64308
5.2619,0.64292
5.2663,0.64277
5.2706,0.64261
