x,TH8,TH15
4.7998,,20.13824
4.8722,,20.11253
4.9441,20.33107,
4.9446,,20.08039
5.0165,20.29893,
5.0169,,20.04825
5.0888,20.27322,
5.0893,,20.01611
5.3058,20.25394,
5.3063,,19.99683
5.3787,,19.96469
5.4505,20.2218,
5.451,,19.93255
5.5234,,19.90041
5.5958,,19.8747
5.6675,20.19609,
5.7399,20.17038,
5.8127,,19.84899
5.8845,20.13824,
5.9569,20.11253,
5.9574,,19.82328
6.0293,20.0804,
6.0298,,19.79115
6.1022,,19.76544
6.1739,20.05469,
6.3186,20.02898,
6.3191,,19.74615
6.4633,20.00327,
6.4638,,19.72044
6.5362,,19.68831
6.5362,,19.65617
6.608,19.97756,
6.608,19.94542,
6.6086,,19.62403
6.6804,19.91328,
6.681,,19.59189
6.8251,19.88757,
6.8974,19.86186,
7.0065,,19.54368
7.0421,19.82972,
7.115,,19.51315
7.2054,,19.48584
7.2591,19.81687,
7.3314,19.78473,
7.332,,19.45209
7.4587,,19.41995
7.4761,19.75902,
7.5485,19.72688,
7.5491,,19.37496
7.8378,19.71403,
7.9101,19.68189,
7.9825,19.65618,
8.1359,19.61761,
8.3081,19.57101,
8.5612,19.53807,
8.6878,19.4987,
8.8506,19.46175,
