############################
### DOCUMENT
# [1] M. J. Mandell and I. Katz, “Theory of Hollow Cathode Operation in Spot and Plume Modes,” 30th AIAA/ASME/SAE/ASEE Jt. Propuls. Conf., 1994.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Electron density vs. discharge current for various mass flow rates 
### DATA
# Id (A), ne (1/m3) at mdot = 1 sccm,  ne (1/m3) at mdot = 6 sccm, ne (1/m3) at mdot = 10 sccm,
### NOTES
# Lo = 0.076 cm, ro = 0.0368 cm, rc = 0.6 cm
############################
Id,ne_mdot1,ne_mdot6,ne_mdot10
4.6683,0.52339,1.76139,2.24145
4.6975,0.52898,1.77017,2.25418
4.7219,0.53623,1.77843,2.26858
4.7315,0.53927,1.78192,2.27442
4.7449,0.54315,1.78692,2.28156
4.7789,0.54944,1.80245,2.29531
4.7851,0.54992,1.80594,2.29812
4.7923,0.55022,1.81016,2.30209
4.8238,0.54991,1.82855,2.32947
4.8262,0.54984,1.82982,2.33099
4.8642,0.54991,1.84622,2.34702
4.8712,0.55054,1.84923,2.35
4.8736,0.55084,1.85035,2.35114
4.9185,0.56129,1.87604,2.37737
4.921,0.56195,1.87773,2.37889
4.9275,0.5636,1.8823,2.38281
4.9658,0.57149,1.90427,2.40475
4.9683,0.57192,1.90511,2.40614
5.0065,0.57728,1.91309,2.42812
5.0132,0.57796,1.91431,2.43213
5.0316,0.5795,1.91879,2.44391
5.0447,0.5806,1.92411,2.45266
5.0698,0.58413,1.93973,2.46818
5.0789,0.58627,1.94617,2.47328
5.0921,0.58986,1.95492,2.48003
5.1263,0.59716,1.97354,2.49456
5.1331,0.59781,1.9765,2.49749
5.1395,0.59815,1.97913,2.50056
5.171,0.59768,1.99268,2.5211
5.1736,0.59758,1.99407,2.5226
5.2122,0.59781,2.0174,2.54407
5.2184,0.59861,2.02033,2.54847
5.221,0.59905,2.02145,2.55062
5.2499,0.60647,2.03094,2.57585
5.2754,0.6115,2.03867,2.58511
5.2842,0.61203,2.04198,2.58764
5.3131,0.61157,2.05792,2.59638
5.3315,0.61092,2.06936,2.60407
5.3546,0.61149,2.07979,2.61875
5.3605,0.6122,2.08212,2.62375
5.3789,0.61621,2.08989,2.64286
5.3919,0.61989,2.09632,2.65798
5.4178,0.62518,2.11148,2.67646
