x,20A,30A,40A,50A,90A,60A,70A,80A,100A
2.72159,,,,,,,,19.94939,
2.73931,,,,,,,20.00539,,
2.74005,19.38709,,,,,,,,
2.74093,,,,20.15822,,,,,
2.74731,,19.47809,,,,,,,
2.74892,,,,,19.50142,,,,
2.75141,,,20.23405,,,,,,
2.76662,19.3661,,,,,,,,
2.77307,,19.43493,,,,,,,
2.77388,,19.45943,,,,,,,
2.77954,,,,,,,,,19.77675
2.78273,,,,,19.4396,,,,
2.78278,,,,,,,,19.87241,
2.79811,,,20.19207,,,,,,
2.79883,19.33461,,,,,,,,
2.80447,,19.41161,,,,,,,
2.80454,,,,20.10924,,,,,
2.80774,,,,,,,19.94125,,
2.81172,,19.40578,,,,,,,
2.82218,,19.37078,,,,,,,
2.82459,19.30895,,,,,,,,
2.8254,,,,,19.37662,,,,
2.83112,,,20.15474,,,,,,
2.83271,,,,,,20.00192,,,
2.83994,,,,,,,,19.81643,
2.85197,,,,,19.32879,,,,
2.85599,19.27396,,,,,,,,
2.8633,,,,,,,19.8876,,
2.86969,,19.3498,,,,,,,
2.87378,,,,20.0416,,,,,
2.88095,19.23547,,,,,,,,
2.88176,,,,,19.31014,,,,
2.88426,,,20.1186,,,,,,
2.89947,,,,,19.25298,,,,
2.90028,,19.32881,,,,,,,
2.90113,,,,,,,,19.75695,
2.90839,,,,,,,19.83395,,
2.91082,,,,20.00661,,,,,
2.93087,,,,,19.18182,,,,
2.9341,,19.25182,,,,,,,
2.93659,,,20.06378,,,,,,
2.94053,19.155,,,,,,,,
2.94141,,,,,,19.88879,,,
2.94218,,,,,,,,,19.53181
2.95669,,,,,,,,19.67414,
2.96227,,,,,19.1375,,,,
2.97677,,19.218,,,,,,,
2.97757,19.11184,,,,,,,,
2.97763,,,,,,,19.75697,,
2.99295,,,,19.91914,,,,,
2.99296,,,20.00897,,,,,,
2.99368,,19.17484,,,,,,,
2.99694,,,,,,,,19.63215,
3.00816,,,,,19.05935,,,,
3.0146,19.06752,,,,,,,,
3.02674,,,,,,,19.68233,,
3.02758,,,19.96815,,,,,,
3.03796,,19.12119,,,,,,,
3.038,,,,,,,,19.5645,
3.04519,19.01037,,,,,,,,
3.05976,,,,,,19.74883,,,
3.0613,,,,,18.97187,,,,
3.063,,,19.93199,,,,,,
3.07097,,19.07104,,,,,,,
3.08228,,,,,,,,19.50035,
3.08303,18.93688,,,,,,,,
3.08471,,,,,,,19.61001,,
3.08795,,,,19.80484,,,,,
3.09754,,19.02555,,,,,,,
3.10568,,,19.88301,,,,,,
3.11765,18.89023,,,,,,,,
3.12011,,,,,,,,,19.27287
3.12571,,18.96956,,,,,,,
3.12651,,,,,18.8634,,,,
3.12818,,,,,,,,19.4397,
3.14181,18.83774,,,,,,,,
3.14271,,,19.82585,,,,,,
3.14832,,,,,,,19.52254,,
3.1507,,,,,,,,,19.22389
3.16194,,18.91357,,,,,,,
3.17008,,,,19.6952,,,,,
3.17089,,,19.79086,,,,,,
3.18287,18.78409,,,,,,,,
3.18367,,,,,18.76192,,,,
3.18453,,,,,,,,19.32656,
3.19665,,,19.76054,,,,,,
3.19818,,18.87042,,,,,,,
3.20625,,,,,,,,,19.12824
3.2087,,,,,,,19.41289,,
3.22564,,,19.69755,,,,,,
3.23278,,,,,18.67794,,,,
3.23521,,18.8156,,,,,,,
3.23528,,,,,,19.49106,,,
3.23765,,,,,,,,,19.06525
3.24567,18.68844,,,,,,,,
3.25458,,,,,,,,19.20875,
3.27475,,,19.64623,,,,,,
3.27794,,,,,,,19.29392,,
3.28112,,,,,,,,,18.9731
3.28279,,,,19.51908,,,,,
3.2835,,,,,18.62079,,,,
3.28593,,18.74912,,,,,,,
3.29398,,18.70596,,,,,,,
3.29961,18.58463,,,,,,,,
3.30776,,,19.59841,,,,,,
3.31336,,,,,,,19.22043,,
3.31413,,,,,,,,,18.90545
3.31652,,,,,18.60213,,,,
3.33102,,18.6348,,,,,,,
3.33433,,,19.57042,,,,,,
3.34469,,,,,18.50531,,,,
3.3463,18.46098,,,,,,,,
3.35117,,,,,,,,,18.83547
3.35522,,,,,,,19.15745,,
3.36483,,18.59631,,,,,,,
3.36492,,,19.5296,,,,,,
3.37212,,,,,,,,18.98013,
3.38575,18.38167,,,,,,,,
3.39471,,,19.48761,,,,,,
3.39628,,,,,,,19.07813,,
3.39786,,,,,,,,,18.74565
3.39944,,,,,18.42717,,,,
3.40678,,,,19.32779,,,,,
3.41323,,,19.45962,,,,,,
3.41636,,18.5135,,,,,,,
3.41875,18.30235,,,,,,,,
3.42126,,,,,,19.18897,,,
3.44293,,18.47734,,,,,,,
3.4454,,,,,,,19.00582,,
3.44544,,,19.4188,,,,,,
3.44858,,,,,,,,,18.65467
3.44936,,,,,18.35835,,,,
3.45659,18.23819,,,,,,,,
3.47034,,,,,,,,18.825,
3.47201,,,19.38031,,,,,,
3.4784,,,,,,,18.93933,,
3.49777,,,19.35465,,,,,,
3.50091,,,,,,,,,18.54736
3.50169,,,,,18.30004,,,,
3.50812,18.18454,,,,,,,,
3.5203,,,,19.1505,,,,,
3.52273,,,19.28932,,,,,,
3.53474,,,,,,,,18.67803,
3.53717,,,,,,,18.82735,,
3.53875,,,,,,,,,18.47854
3.54766,,,,,,18.96152,,,
3.54929,,,19.24384,,,,,,
3.55321,18.11923,,,,,,,,
3.55896,,,19.22401,,,,,,
3.57421,,,,,,,18.7492,,
3.57576,,,,,18.22423,,,,
3.57817,,18.1449,,,,,,,
3.57978,18.07724,,,,,,,,
3.59028,,,,,,,,,18.40972
3.59197,,,19.19018,,,,,,
3.59915,,,,,,,,18.56372,
3.61285,,,,,,,18.68155,,
3.6161,,,,18.9732,,,,,
3.61612,,,19.14119,,,,,,
3.63293,,,,,18.17991,,,,
3.63383,,,19.08637,,,,,,
3.65472,,,,,,,18.61157,,
3.65873,,,,,,,,18.45874,
3.65959,,,19.05371,,,,,,
3.66037,,,,,,18.73756,,,
3.66352,,18.03526,,,,,,,
3.68777,,,19.00589,,,,,,
3.69497,,,,,,,18.54158,,
3.70781,,,,,18.13327,,,,
3.71032,,,18.98256,,,,,,
3.72074,,,,,,,18.51009,,
3.73038,,,,,,,,18.3596,
3.7401,,,18.93474,,,,,,
3.74402,,17.8813,,,,,,,
3.76345,,,18.89158,,,,,,
3.76985,,,,,,,18.44477,,
3.77948,,,,,18.11813,,,,
3.78036,,,18.84959,,,,,,
3.79646,,,18.79826,,,,,,
3.80689,,,,,,18.49145,,,
3.81013,,,,18.62211,,,,,
3.82061,,,18.74811,,,,,,
