x,20A,30A,40A,50A,60A,70A,80A,100A,90A
1.94269,,,,,,,,20.72236,
1.94826,20.59347,,,,,,,,
1.9547,,20.65745,,,,,,,
1.96759,,,,,,20.75069,,,
1.98117,20.58158,,,,,,,,
1.98601,,20.641,,,,,,,
1.99726,,,,,,,,20.67847,
1.99888,,,,,,,,,20.71138
2.01167,20.56787,,,,,,,,
2.01812,,20.63185,,,,,,,
2.01813,,,,,,,,20.67482,
2.03579,,,,,,,,20.66384,
2.04136,20.54867,,,,,,,,
2.04866,,,,,,20.72783,,,
2.05182,,20.609,,,,,,,
2.06148,,,,,,,,20.6547,
2.06705,20.52856,,,,,,,,
2.06711,,,,,,,20.69675,,
2.07275,,,,20.74245,,,,,
2.08232,,20.59163,,,,,,,
2.09273,20.51393,,,,,,,,
2.09679,,,,,,,,20.64007,
2.1048,,20.57791,,,,,,,
2.10802,,,,,,,,20.6163,
2.12243,20.49382,,,,,,,,
2.12251,,,,,,20.70862,,,
2.12574,,,,20.74336,,,,,
2.1281,,,,,,,,,20.64098
2.13454,,,,,,,20.66566,,
2.13532,,,,,,,,20.60716,
2.14332,,20.55597,,,,,,,
2.14731,20.4737,,,,,,,,
2.15502,,,20.70451,,,,,,
2.16025,,,,20.7333,,,,,
2.16742,,,,,,,,20.58705,
2.17469,,,,,,20.68942,,,
2.177,20.45633,,,,,,,,
2.18105,,20.52946,,,,,,,
2.1899,,,,,,,,20.5779,
2.19798,,,,20.72324,,,,,
2.20429,20.43622,,,,,,,,
2.21882,,,,,,,20.6236,,
2.22756,20.41611,,,,,,,,
2.2284,,20.49015,,,,,,,
2.22842,,,,,,,,20.55596,
2.23169,,,,,20.68576,,,,
2.2389,,,,,,20.66199,,,
2.24534,,,,20.71044,,,,,
2.2509,,,,,,,,20.54499,
2.25324,20.39599,,,,,,,,
2.25889,,20.46729,,,,,,,
2.26139,,,20.69581,,,,,,
2.27818,,,,,,,,20.52305,
2.28053,20.37405,,,,,,,,
2.28062,,,,,,,20.58612,,
2.28781,,,,,,,,20.50659,
2.28787,,,,,20.66564,,,,
2.28867,,,,,,20.63822,,,
2.28939,,20.43621,,,,,,,
2.28944,,,,,,,,,20.56967
2.2927,,,,20.70038,,,,,
2.30862,20.3512,,,,,,,,
2.31025,,20.41884,,,,,,,
2.3135,,,,,,,,20.50293,
2.33276,,,,,,,,20.48282,
2.33511,20.33109,,,,,,,,
2.33925,,,,,20.65284,,,,
2.33994,,20.38776,,,,,,,
2.34003,,,,,,20.60896,,,
2.34007,,,,20.68849,,,,,
2.35517,20.30915,,,,,,,,
2.35523,,,,,,,,20.47002,
2.36241,,20.36399,,,,,,,
2.36813,,,,,,20.59159,,,
2.36977,,,20.68026,,,,,,
2.37931,,,,,,,,20.44443,
2.38014,,,,,,,,,20.51938
2.381,,,,20.66746,,,,,
2.3842,,,,,20.63455,,,,
2.38486,20.2872,,,,,,,,
2.38809,,20.33839,,,,,,,
2.39375,,,,,,,,20.4298,
2.40655,,20.32377,,,,,,,
2.40814,20.27166,,,,,,,,
2.41142,,,,,,,,20.44259,
2.42433,,,,,20.61444,,,,
2.42581,,20.30183,,,,,,,
2.42595,,,,20.65923,,,,,
2.42753,,,,,,20.57605,,,
2.43221,20.25429,,,,,,,,
2.44191,,,,,,,,20.41883,
2.44683,,,20.66197,,,,,,
2.4523,,20.28994,,,,,,,
2.45644,,,,,20.59798,,,,
2.45956,,,,,,,,20.38409,
2.46529,,,,20.6446,,,,,
2.46915,,20.27074,,,,,,,
2.46994,20.23144,,,,,,,,
2.48524,,,,,,,,20.34752,
2.49499,,,20.65465,,,,,,
2.49723,20.21224,,,,,,,,
2.49736,,,,,,20.53856,,,
2.49818,,,,,20.58884,,,,
