x,Curve1
-7.61151,12.06784
-7.57535,12.07427
-7.5392,12.07428
-7.50304,12.06785
-7.46688,12.06786
-7.43073,12.06786
-7.39457,12.06786
-7.36564,12.06144
-7.32949,12.05501
-7.29333,12.04859
-7.25717,12.04859
-7.22102,12.04859
-7.19209,12.06788
-7.15594,12.06788
-7.11978,12.07431
-7.08363,12.08074
-7.04747,12.08075
-7.01855,12.08718
-6.98239,12.08718
-6.94623,12.08718
-6.91008,12.08076
-6.87392,12.08076
-6.83776,12.07433
-6.8016,12.07434
-6.76545,12.06791
-6.73652,12.06149
-6.70036,12.06792
-6.66421,12.06792
-6.62805,12.07435
-6.5919,12.08078
-6.56297,12.08721
-6.52682,12.08721
-6.49066,12.08722
-6.4545,12.08722
-6.41835,12.08722
-6.38219,12.08723
-6.34603,12.08723
-6.30988,12.09366
-6.27372,12.10009
-6.23757,12.09367
-6.20864,12.1001
-6.17248,12.09367
-6.13633,12.08725
-6.10017,12.08725
-6.06401,12.08725
-6.02786,12.08725
-5.9917,12.09369
-5.95554,12.09369
-5.92662,12.10655
-5.89046,12.10655
-5.85431,12.10012
-5.82538,12.0937
-5.78922,12.0937
-5.75307,12.0937
-5.71691,12.09371
-5.68075,12.09371
-5.6446,12.09371
-5.60844,12.09372
-5.57952,12.10657
-5.54336,12.113
-5.50721,12.11301
-5.47828,12.11944
-5.44213,12.11944
-5.40597,12.11944
-5.36981,12.11302
-5.33366,12.11302
-5.2975,12.11302
-5.26857,12.11945
-5.23242,12.11303
-5.19626,12.11303
-5.1601,12.11946
-5.12395,12.11947
-5.08779,12.1259
-5.05164,12.1259
-5.01548,12.1259
-4.97932,12.12591
-4.9504,12.11948
-4.91424,12.11306
-4.87808,12.10663
-4.84916,12.11949
-4.813,12.12592
-4.77685,12.13235
-4.74069,12.13878
-4.70454,12.13878
-4.66838,12.13879
-4.63222,12.13879
-4.59607,12.13879
-4.55991,12.13879
-4.53099,12.14522
-4.49483,12.14523
-4.45867,12.14523
-4.42252,12.14523
-4.38636,12.14524
-4.3502,12.14524
-4.31405,12.15167
-4.27789,12.15167
-4.24174,12.1581
-4.20558,12.15811
-4.17666,12.17096
-4.1405,12.17097
-4.11158,12.1774
-4.07542,12.1774
-4.03926,12.17098
-4.0031,12.17098
-3.96695,12.17098
-3.93079,12.16456
-3.89463,12.17099
-3.85848,12.17742
-3.82955,12.17742
-3.7934,12.18385
-3.75724,12.18385
-3.72109,12.18386
-3.68493,12.19029
-3.64877,12.19029
-3.61262,12.19029
-3.57646,12.19672
-3.54031,12.20315
-3.51138,12.20958
-3.47523,12.21602
-3.43907,12.22245
-3.40291,12.22245
-3.38122,12.23531
-3.34507,12.23531
-3.30891,12.23531
-3.27275,12.23531
-3.2366,12.24175
-3.20044,12.24175
-3.16428,12.24175
-3.12813,12.24175
-3.09197,12.24176
-3.05582,12.24819
-3.01966,12.25462
-2.9835,12.25462
-2.95458,12.2482
-2.91842,12.24177
-2.88226,12.24177
-2.84611,12.25463
-2.81719,12.26749
-2.78103,12.27392
-2.74487,12.27392
-2.71595,12.28035
-2.67979,12.28036
-2.64364,12.28036
-2.60748,12.28036
-2.57132,12.28037
-2.53517,12.2868
-2.49901,12.2868
-2.46286,12.29323
-2.4267,12.30609
-2.39055,12.30609
-2.36162,12.31895
-2.32547,12.32538
-2.28931,12.33181
-2.25316,12.33181
-2.217,12.33182
-2.18084,12.33182
-2.15192,12.33825
-2.11576,12.34468
-2.07961,12.34468
-2.05068,12.35754
-2.01453,12.35754
-1.97837,12.35755
-1.94945,12.3704
-1.91329,12.37041
-1.87714,12.37684
-1.84098,12.37684
-1.81206,12.38327
-1.7759,12.38327
-1.74698,12.40256
-1.71082,12.40899
-1.67467,12.41542
-1.64574,12.42828
-1.61682,12.44756
-1.5879,12.46042
-1.56621,12.47971
-1.53005,12.48614
-1.50113,12.499
