############################
### DOCUMENT
#  [1] P. J. Wilbur, “Advanced Ion Thruster Research,”  NASA CR-168340, 1984.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Effect of propellant and insert surface work function on plasma density profile
### DATA
# x(mm), ne (m^-3 x10^-19), phi_wf (eV), Id (A), P (Torr), do (mm), dc (mm)
### NOTES
# The plot is for a work function of 1.9 eV  and 2.5 eV for xenon 
# p.84
############################
x,ne,phi_wf,Id,P,do,dc
4.8859,12.2467,2.5,2.3,4.0,0.76,4.0
4.9791,11.8906,2.5,2.3,4.0,0.76,4.0
5.0723,11.4969,2.5,2.3,4.0,0.76,4.0
5.1655,11.1574,2.5,2.3,4.0,0.76,4.0
5.2588,10.7493,2.5,2.3,4.0,0.76,4.0
5.352,10.3561,2.5,2.3,4.0,0.76,4.0
5.4452,10.0086,2.5,2.3,4.0,0.76,4.0
5.5384,9.6128,2.5,2.3,4.0,0.76,4.0
5.6316,9.3142,2.5,2.3,4.0,0.76,4.0
5.7249,8.9638,2.5,2.3,4.0,0.76,4.0
5.8181,8.5662,2.5,2.3,4.0,0.76,4.0
5.9113,8.2145,2.5,2.3,4.0,0.76,4.0
6.0045,7.9024,2.5,2.3,4.0,0.76,4.0
6.0977,7.601,2.5,2.3,4.0,0.76,4.0
6.1909,7.2221,2.5,2.3,4.0,0.76,4.0
6.2842,6.8518,2.5,2.3,4.0,0.76,4.0
6.3774,6.5465,2.5,2.3,4.0,0.76,4.0
6.4706,6.2643,2.5,2.3,4.0,0.76,4.0
6.5638,5.987,2.5,2.3,4.0,0.76,4.0
6.657,5.6624,2.5,2.3,4.0,0.76,4.0
6.7502,5.367,2.5,2.3,4.0,0.76,4.0
6.8435,5.1202,2.5,2.3,4.0,0.76,4.0
6.9367,4.8212,2.5,2.3,4.0,0.76,4.0
7.0299,4.5459,2.5,2.3,4.0,0.76,4.0
7.1231,4.25,2.5,2.3,4.0,0.76,4.0
